name    chrom   start   end
KIR3DL3 19  55235681    55248171  
KIR3DL1 19  55327689    55378569
KIR2DL5B    19  55265986    55337447
KIR2DL3 19  55249743    55264553
KIR2DL1 19  55281035    55295784
KIR2DS2 19  55249711    55264292
KIR2DS4 19  55290062    55360046
KIR3DS1 19  55327478    55342622
KIR3DP1 19  55297540    55303593
KIR3DL2 19  55361663    55378697
KIR2DL5A    19 55271881    55371344
KIR2DL4 19  55314840    55326052
KIR2DL2 19  55249711    55264528
KIR2DS1 19  55281035    55295755
KIR2DS3 19  55281003    55296109
KIR2DS5 19  55281035    55296300
KIR2DP1 19  55266208    55279344
KIR3DL1S1   19  55327478    55378569
