name	chrom	start	end	suggest.pos
KIR2DL1	19	54769793	54784322	NA
#KIR2DL2	19	177968	192511	-1
KIR2DL2	19	54724442	55342622	NA
KIR2DL23	19	54724442	55342622	NA
KIR2DL3	19	54724442	54736632	NA
KIR2DL4	19	54803535	54814517	NA
KIR2DL5A	19	60196	69656	-1
KIR2DL5B	19	166421	175937	-1
KIR2DP1	19	54755023	54767371	NA
KIR2DS1	19	54724442	54867207	NA
KIR2DS2	19	54724442	54867207	NA
KIR2DS3	19	150177	164532	-1
KIR2DS4	19	54832676	54848569	NA
KIR2DS5	19	54724442	54867207	NA
KIR3DL1	19	54816438	54830778	NA
KIR3DL2	19	54850443	54867207	NA
KIR3DL3	19	54724447	54736536	NA
KIR3DP1	19	54786355	54790418	NA
#KIR3DS1	19	71573	86270	-1
KIR3DL1S1 19 54724442 54867207 NA
KIR3DS1 19 54724442 54867207 NA

